,serie,cpu_manufacturer,core,cpu_frequency,cpu_series,memory_size,memory_type,RAM,resolution,matrix_type,videocard,weight,laptop_class,prices
68,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,10.0,3.2,Apple M1 Pro,1000.0,SSD,16.0,3024x1964,Liquid Retina XDR,Integrated,1.6,Gaming,1572990
69,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,10.0,3.2,Apple M1 Pro,1000.0,SSD,16.0,3024x1964,Liquid Retina XDR,Integrated,1.6,Gaming,1572990
70,Asus VivoBook Pro 15 OLED,Intel,4.0,3.1,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,OLED,NGF GTX 1650 Max-Q,1.65,Non-gaming,519990
71,Asus VivoBook 14,Intel,2.0,3.0,Intel Core i3,256.0,SSD,4.0,1920x1080 Full HD,IPS,Integrated,1.4,Non-gaming,319990
72,Asus ROG Zephyrus M16,Intel,14.0,2.3,Intel Core i7,512.0,SSD,16.0,2560x1600 WQXGA,IPS,NGF RTX 3050 Ti,1.9,Gaming,899990
73,HP Spectre x360,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.2,Non-gaming,774990
74,HP Laptop,Intel,4.0,0.9,Intel Core i3,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.6,Non-gaming,369990
75,Huawei MateBook 14,AMD,6.0,2.1,AMD Ryzen 5,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.49,Non-gaming,599990
76,Asus ROG Flow Z13,Intel,14.0,2.3,Intel Core i7,512.0,SSD,16.0,1920x1200 WUXGA,IPS,NGF RTX3050,1.8,Non-gaming,1569990
77,"Apple MacBook Air Series, Apple MacBook Air 2020",Apple,8.0,3.2,Apple M1,256.0,SSD,16.0,2560x1600 WQXGA,IPS Retina,Integrated,1.29,Gaming,827990
78,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,8.0,3.2,Apple M1 Pro,512.0,SSD,32.0,3024x1964,Liquid Retina XDR,Integrated,1.6,Gaming,1783990
79,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8.0,3.5,M2,256.0,SSD,16.0,2560x1600 WQXGA,IPS,Integrated,1.24,Gaming,919990
80,LG Gram,Intel,4.0,2.8,Intel Core i7,512.0,SSD,16.0,2560x1600 WQXGA,IPS,Integrated,1.8,Non-gaming,969990
81,Asus Zenbook Pro 16X OLED,Intel,14.0,2.3,Intel Core i7,1000.0,SSD,16.0,3840x2400 WQUXGA,OLED,NGF RTX 3060,1.8,Non-gaming,1629990
82,Asus ROG STRIX SCAR 15,Intel,14.0,2.5,Intel Core i9,1000.0,SSD,32.0,2560x1440 WQHD,IPS,NGF RTX 3080,2.3,Gaming,1599990
83,Asus ROG Flow X16,AMD,8.0,3.2,AMD Ryzen 7,512.0,SSD,32.0,2560x1600 WQXGA,IPS,NGF RTX 3060,1.8,Gaming,1199990
84,Asus Zenbook 14,AMD,6.0,3.3,AMD Ryzen 5,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.3,Non-gaming,429990
85,Asus Zenbook 14,AMD,6.0,3.3,AMD Ryzen 5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.3,Non-gaming,399990
86,Asus X515EA,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,299990
87,Asus X515EA,Intel,4.0,2.4,Intel Core i5,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,314990
88,Asus VivoBook 15,Intel,10.0,3.3,Intel Core i3,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,289990
89,Asus ExpertBook B1,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.73,Non-gaming,399990
90,Asus ExpertBook B1,Intel,10.0,3.5,Intel Core i7,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.73,Non-gaming,579990
91,Asus ExpertBook B1,Intel,10.0,3.5,Intel Core i7,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.73,Non-gaming,579990
92,Gigabyte U4 UD,Intel,4.0,2.5,Intel Core i7,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.0,Non-gaming,476390
93,Gigabyte AERO 16 KE5,Intel,14.0,2.3,Intel Core i7,1000.0,SSD,16.0,3840x2400 WQUXGA,IPS,NGF RTX 3060,1.8,Gaming,1317890
94,Gigabyte G7 KE,Intel,6.0,2.5,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX 3060P,2.4,Gaming,649490
95,Gigabyte G7 KE,Intel,12.0,2.5,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX 3060P,2.4,Gaming,719490
96,Gigabyte G7 ME,Intel,12.0,2.5,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,2.5,Gaming,654490
